,Amount,Age,Year,Overseas,Mega,id,matches,Innings,Not Outs,Aggregate,Highest Score,Average,30s,50s,4s,6s,Boundary %,Scoring Rate,Top Scored in Innings,Top Scored %,Overs,Balls Bowled,Wickets,3 Wickets in Innings,4 Wickets in Innings,Economy Rate,Strike Rate,prog_agg,prog_avg,prog_sr,prog_bowlsr,prog_er,prog_wkts,prog_bowlavg,prog_matches,last_matches,last_inn,last_hs,last_runs,last_avg,last_sr,last_batpercent,overs,last_wkts,last_bowlavg,last_bowlsr,last_bowler,last_bowlpercent,birthyear,Role_All-Rounder,Role_Batsman,Role_Bowler,Role_Wicket Keeper,Nation_Indian,Nation_Overseas
51,1.5182926829268293,42,2014,1,1,1234,66,9,3,20,6,26.75,0,0,1,0,0.2,66.67,0,0.0,254.0,1524.0,63.0,5.0,0.0,6.63,24.19,20.0,3.33,66.67,23.8,6.56,60.0,26.02,61.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,59.0,46.0,7.7,7.89,1972,0,0,1,0,0,1
52,0.8223684210526316,44,2015,1,0,2068,21,6,3,22,13,24.78,0,0,1,0,0.181818182,100.0,0,0.0,76.2,458.0,23.0,2.0,1.0,7.47,19.91,15.0,7.5,93.75,23.6,7.22,10.0,28.4,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,9.3,0.0,1971,0,0,1,0,0,1
53,2.239208633093525,38,2018,0,1,2138,163,90,37,833,64,26.97,5,1,79,42,0.681872749,137.91,4,0.044444444,569.2,3416.0,150.0,11.0,2.0,7.11,22.77,799.0,16.31,142.42,22.98,6.99,127.0,26.78,136.0,11.0,7.0,7.0,16.0,8.0,100.0,0.85,41.0,8.0,33.25,30.75,6.49,12.12,1980,0,0,1,0,1,0
54,2.0,41,2021,0,0,2138,163,90,37,833,64,26.97,5,1,79,42,0.681872749,137.91,4,0.044444444,569.2,3416.0,150.0,11.0,2.0,7.11,22.77,829.0,15.64,138.17,22.49,7.08,150.0,26.55,160.0,11.0,1.0,1.0,1.0,1.0,0.0,0.06,44.0,16.0,19.5,16.5,7.09,22.22,1980,0,0,1,0,1,0
55,9.821428571428571,37,2016,0,0,2168,88,22,15,41,22,23.41,0,0,3,1,0.43902439,66.13,0,0.0,318.0,1908.0,106.0,14.0,1.0,7.8,18.0,40.0,5.71,65.57,18.26,7.7,89.0,23.43,74.0,16.0,4.0,1.0,1.0,1.0,0.0,0.04,62.0,22.0,20.41,16.91,7.24,20.18,1979,0,0,1,0,1,0
56,3.0365853658536586,35,2014,0,1,2168,88,22,15,41,22,23.41,0,0,3,1,0.43902439,66.13,0,0.0,318.0,1908.0,106.0,14.0,1.0,7.8,18.0,39.0,6.5,72.22,19.71,7.71,58.0,25.32,54.0,10.0,4.0,1.0,1.0,0.25,12.5,0.07,36.0,11.0,28.73,19.64,8.78,21.57,1979,0,0,1,0,1,0
57,1.5182926829268293,38,2014,0,1,2209,56,16,9,113,21,44.77,0,0,7,1,0.300884956,104.63,0,0.0,191.4,1150.0,31.0,1.0,0.0,7.24,37.1,113.0,16.14,104.63,36.73,7.06,30.0,43.23,54.0,11.0,2.0,2.0,2.0,2.0,0.0,0.11,39.0,9.0,31.56,26.0,7.28,12.16,1976,0,0,1,0,1,0
58,6.578947368421053,37,2015,0,0,2245,100,32,18,117,23,27.27,0,0,11,2,0.478632479,82.98,0,0.0,366.4,2200.0,102.0,9.0,1.0,7.59,21.57,107.0,9.73,93.04,20.69,7.64,75.0,26.35,70.0,6.0,4.0,7.0,8.0,8.0,114.29,0.96,22.2,5.0,29.2,26.8,6.54,20.0,1978,0,0,1,0,1,0
59,3.947560975609756,36,2014,0,1,2245,100,32,18,117,23,27.27,0,0,11,2,0.478632479,82.98,0,0.0,366.4,2200.0,102.0,9.0,1.0,7.59,21.57,99.0,9.9,91.67,20.26,7.74,67.0,26.14,64.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,9.4,7.2,7.83,55.56,1978,0,0,1,0,1,0
60,2.7329268292682927,33,2014,0,1,3057,73,15,7,36,15,26.68,0,0,2,1,0.388888889,73.47,0,0.0,252.1,1513.0,76.0,7.0,4.0,8.04,19.91,35.0,5.0,76.09,20.45,7.93,64.0,27.02,64.0,13.0,3.0,9.0,9.0,9.0,0.0,0.47,50.0,12.0,32.25,25.0,7.74,15.0,1981,0,0,1,0,1,0
